FSID,mapping_period,month,region,satellite,upload_date,file_name,current,comment,R,G,B
30,2023/03/01-2023/03/17,3,WAS,Sentinel 2,20230318,FSWAS_S2Mosaic_20230201-20230317,,,,,
31,2023/03/01-2023/03/16,3,QLDS,MODIS,20230320,FSQLDS_20230301-0316,,,,,
32,2023/03/09-2023/03/19,3,SA,Sentinel 2,20230320,FSSA_20230309-20230319,,,,,
33,2023/03/12-2023/03/18,3,WAN,MODIS,20230320,FSWAN_20230312-20230318,,,,,
34,2023/03/12-2023/03/19,3,WAN,MODIS,20230320,FSWAN_20230312-20230319,,,,,
35,2023/03/12-2023/03/21,3,NT,MODIS,20230321,FSNT_20230312-20230321,,NT South,,,
36,2023/03/12-2023/03/22,3,SA,Sentinel 2,20230323,FSSA_20230312-20230322,,single fire NW corner,,,
37,2023/03/13-2023/03/22,3,WAN,MODIS,20230323,FSWAN_20230313-20230322,,,,,
38,2023/03/22-2023/03/24,3,SA,Sentinel 2,20230327,FSSA_20230322-20230324,,,,,
39,2023/02/15-2023/02/28,2,WAS,Sentinel 2,20230330,FSWAS_S2Mosaic_20230215-20230329,,,,,
40,2023/03/01-2023/03/29,3,WAS,Sentinel 2,20230330,FSWAS_S2Mosaic_20230215-20230329,,,,,
41,2023/03/18-2023/03/27,3,WAN,MODIS,20230330,FSWAN_20230318-20230327,,,,,
42,2023/03/18-2023/03/29,3,NT,MODIS-S2,,,,,,,
43,2023/03/15-2023/04/01,3,QLDN,MODIS-S2,20230403,FSQLDN_20230315-20230401,,,,,
44,2023/02/01-2023/02-28,2,WAN,MODIS,20230403,FSWAN_20230318-20230401,,,,,
45,2023/03/18-2023/03/31,3,WAN,MODIS,20230403,FSWAN_20230318-20230401,,,,,
46,2023/04/01-2023/04/01,4,WAN,MODIS,20230403,FSWAN_20230318-20230401,,,,,
47,2023/03/18-2023/03/31,3,WAN,Sentinel 2,20230403,FSWAN_S2_20230402,,,,,
48,2023/04/01-2023/04/02,4,WAN,Sentinel 2,20230403,FSWAN_S2_20230402,,,,,
49,2023/03/16-2023/04/08,3,QLDS,MODIS,20230413,FSQLDS_20230316-20230408,,,,,
50,2023/03/16-2023/04/08,4,QLDS,MODIS,20230413,FSQLDS_20230316-20230408,,,,,
51,2023/01/01-2023/01/31,1,WAN,Sentinel 2,20230413,FSWAN_S2Mosaic_20230201-20230411,,,,,
52,2023/02/01-2023/02/28,2,WAN,Sentinel 2,20230413,FSWAN_S2Mosaic_20230201-20230411,,,,,
53,2023/03/01-2023/03/31,3,WAN,Sentinel 2,20230413,FSWAN_S2Mosaic_20230201-20230411,,,,,
54,2023/04/01-2023/04/11,4,WAN,Sentinel 2,20230413,FSWAN_S2Mosaic_20230201-20230411,,,,,
55,2023/03/01-2023/03/31,3,WAN,MODIS,20230413,FSWAN_20230401-20230407,,,,,
56,2023/04/01-2023/04/07,4,WAN,MODIS,20230413,FSWAN_20230401-20230407,,,,,
57,2023/04/01-2023/04/11,4,QLDN,MODIS,20230419,FSQLDN_20230401-20230411,,,,,
58,2023/04/08-2023/04/14,4,QLDS,MODIS,20230419,FSQLDS_20230408-20230414,,,,,
59,2023/03/28-2023/04/19,4,NT,MODIS,20230419,FSNT_20230328-20230419,,top end,,,
60,2023/03/01-2023/03/31,3,WAN,MODIS,20230421,FSWAN_20230401-20230420,,,,,
61,2023/04/01-2023/04/20,4,WAN,MODIS,20230421,FSWAN_20230401-20230420,,,,,
62,2023/03/28-2023/04/24,4,NT,MODIS,20230427,FSNT_20230328-20230424,,top end,,,
63,2023/01/01-2023/01/31,1,WAS,Sentinel 2,20230427,FSWAS_S2Backmap_20221201-20230424,,,,,
64,2023/02/01-2023/02/28,2,WAS,Sentinel 2,20230427,FSWAS_S2Backmap_20221201-20230424,,,,,
65,2023/03/01-2023/03/31,3,WAS,Sentinel 2,20230427,FSWAS_S2Backmap_20221201-20230424,,,,,
66,2023/04/01-2023/04/24,4,WAS,Sentinel 2,20230427,FSWAS_S2Backmap_20221201-20230424,,,,,
67,2023/04/20-2023/04/24,4,WAN,MODIS,20230427,FSWAN_20230420-20230424,,,,,
68,2023/04/02-2023/04/27,4,NT,MODIS/Sent2,20230428,FSNT_20230419-20230501,,,,,
69,2023/04/19-2023/05/01,5,NT,MODIS,20230502,FSNT_20230402-20230428,,,,,
70,2023/04/20-2023/04/25,4,WAN,MODIS,20230502,FSWAN_20230420-20230425,,,,,
71,2023/04/20-2023/04/30,4,WAN,MODIS,20230502,FSWAN_20230420-20230430,,,,,
72,2023/04/24-2023/04/30,4,WAN,MODIS,20230502,FSWAN_20230424-20230430,,,,,
73,2023/04/24-2023/05/01,4,WAN,MODIS,20230502,FSWAN_20230424-20230501,,,,,
74,2023/04/11-2023/05/05,4,QLDN,MODIS,20230507,FSQLDN_20230411-20230505,,,,,
75,2023/04/11-2023/05/05,5,QLDN,MODIS,20230507,FSQLDN_20230411-20230505,,,,,
76,2023/04/14-2023/05/04,4,QLDS,MODIS,20230507,FSQLDS_20230414-20230504,,,,,
77,2023/04/14-2023/05/04,5,QLDS,MODIS,20230507,FSQLDS_20230414-20230504,,,,,
78,2023/04/25-2023/05/04,4,WAN,MODIS,20230508,FSWAN_20230425-2023004,,,,,
79,2023/04/25-2023/05/04,5,WAN,MODIS,20230508,FSWAN_20230425-2023004,,,,,
80,2023/04/25-2023/05/05,4,WAN,MODIS,20230508,FSWAN_20230425-2023005,,,,,
81,2023/04/25-2023/05/05,5,WAN,MODIS,20230508,FSWAN_20230425-2023005,,,,,
82,2023/05/01-2023/05/06,5,WAN,MODIS,20230508,FSWAN_20230425-20230506,,,,,
83,2023/05/01-2023/05/08,5,NT,MODIS,20230508,FSNT_20230501-20230508,,,,,
84,2023/05/04-2023/05/11,5,WAN,MODIS,20230511,FSWAN_20230504-20230511,,,,,
85,2023/05/05-2023/05/10,5,QLDN,MODIS,20230514,FSQLDN_20230505-20230510,,,,,
86,2023/01/01-2023/01/31,1,WAN,Sentinel 2,20230515,FSWAN_S2Mosaic_20221201-20230424,,,,,
87,2023/02/01-2023/02/28,2,WAN,Sentinel 2,20230515,FSWAN_S2Mosaic_20221201-20230424,,,,,
88,2023/03/01-2023/03/31,3,WAN,Sentinel 2,20230515,FSWAN_S2Mosaic_20221201-20230424,,,,,
89,2023/04/01-2023/04/24,4,WAN,Sentinel 2,20230515,FSWAN_S2Mosaic_20221201-20230424,,,,,
90,2023/05/11-2023/05/14,5,WAN,MODIS,20230515,FSWAN_20230511-20230514,,,,,
91,2023/03/01-2023/03/31,3,WAN,Sentinel 2,20230515,FSWAN_S2_Mosaic_20221201p30-20230501p15,,,,,
92,2023/04/01-2023/04/30,4,WAN,Sentinel 2,20230515,FSWAN_S2_Mosaic_20221201p30-20230501p15,,,,,
93,2023/05/01-2023/05/15,5,WAN,Sentinel 2,20230515,FSWAN_S2_Mosaic_20221201p30-20230501p15,,,,,
94,2023/05/01-2023/05/08,5,NT,MODIS,20230516,FSNT_20230508-20230516,,,,,
95,2023/05/04-2023/05/17,5,QLDS,MODIS,20230519,FSQLDS_20230504-20230517,,,,,
96,2023/05/13-2023/05/21,5,NT,MODIS,20230522,FSNT_20230513-20230521,,,,,
97,2023/05/14-2023/05/21,5,WAN,MODIS,20230522,FSWAN_20230514-20230521,,,,,
98,2023/05/10-2023/05/19,5,QLDN,MODIS,20230522,FSQLDN_20230510-20230519,,,,,
99,2023/05/10-2023/05/27,5,NT,MODIS,20230527,FSNT_202300518-20230527,,,,,
100,2023/05/21-203/05/28,5,WAN,MODIS,20230529,FSWAN_20230521-20230528,,,,,
101,2023/05/17-2023/05/26,5,QLDS,MODIS,20230529,FSQLDS_20230517-20230526,,,,,
102,2023/05/10-2023/05/27,5,QLDN,MODIS,20230529,FSQLDN_20230510-20230527,,,,,
103,2023/02/01-2023/02/28,2,WAS,Sentinel 2,20230530,FSWAS_S2Mosaic_20230315-20230521,,,,,
104,2023/03/01-2023/03/31,3,WAS,Sentinel 2,20230530,FSWAS_S2Mosaic_20230315-20230521,,,,,
105,2023/04/01-2023/0430,4,WAS,Sentinel 2,20230530,FSWAS_S2Mosaic_20230315-20230521,,,,,
106,2023/05/01-2023/05/21,5,WAS,Sentinel 2,20230530,FSWAS_S2Mosaic_20230315-20230521,,,,,
107,2023/05/27-2023/06/01,5,NT,MODIS,20230602,FSNT_202300527-20230601,,,,,
108,2023/03/01-2023/03/31,3,WAS,Sentinel 2,20230603,FSWAS_S2Clip20230529,,,,,
